Timestamp,AverageValue
00:00:00,339.7070919324578
01:00:00,305.2156774071981
02:00:00,271.62124109486314
03:00:00,246.38224596925383
04:00:00,230.5438741101536
05:00:00,221.15562640660167
06:00:00,220.84216347956507
07:00:00,242.1867779444861
08:00:00,298.9382595648912
09:00:00,340.1195905334335
10:00:00,308.72311888638075
11:00:00,287.17283834586465
12:00:00,274.6849605707848
13:00:00,266.557392120075
14:00:00,255.6983082706767
15:00:00,255.61162746942617
16:00:00,256.6627450980392
17:00:00,270.5759262742148
18:00:00,306.04600037643513
19:00:00,344.6394161958569
20:00:00,370.94385700846664
21:00:00,374.5438204357626
22:00:00,371.457896713615
23:00:00,359.4380567562488
